Name,wins,losses,Win Points,Win Advantages,Win Submissions,Win Decision,Win Penalties,Win EBI / OT,Win DQ,Losses Points,Losses Advantages,Losses Submissions,Losses Decision,Losses Penalties,Losses EBI / OT,Losses DQ
Gregor Gracie,31 WINS,21 LOSSES,15,4,9,1,1,0,1,8,1,9,2,0,0,0
Guilherme Cordiviola,21 WINS,15 LOSSES,4,7,6,4,0,0,0,3,1,7,3,0,0,0
Guilherme Mendes,42 WINS,8 LOSSES,14,5,22,1,0,0,0,3,2,1,2,0,0,0
Guilherme Rocha,35 WINS,19 LOSSES,19,6,9,1,0,0,0,6,4,5,4,0,1,0
Gunnar Nelson,4 WINS,5 LOSSES,3,0,1,0,0,0,0,3,0,1,1,0,0,0
Gutemberg Pereira,45 WINS,14 LOSSES,14,7,21,2,0,0,1,6,1,4,3,0,0,0
Guthierry Barbosa,50 WINS,13 LOSSES,25,3,20,2,0,0,0,7,1,4,1,0,0,0
Gustavo “Guto” Campos,29 WINS,15 LOSSES,17,4,7,1,0,0,0,4,2,8,0,0,0,1
Gustavo Maron,8 WINS,2 LOSSES,5,0,3,0,0,0,0,1,0,0,0,0,0,0
Gustavo Batista,92 WINS,16 LOSSES,40,4,31,16,0,0,0,5,4,2,5,0,0,0
Gyalisson Freitas,16 WINS,20 LOSSES,7,0,7,2,0,0,0,10,2,8,0,0,0,0
Harryson Pereira,35 WINS,20 LOSSES,15,1,18,1,0,0,0,9,5,5,1,0,0,0
Master Helio Gracie,8 WINS,2 LOSSES,0,0,8,0,0,0,0,0,0,2,0,0,0,0
Helton Jose Junior,96 WINS,57 LOSSES,48,16,16,14,0,0,2,22,11,8,13,2,0,0
Henrique Cardoso,69 WINS,30 LOSSES,25,2,40,2,0,0,0,13,2,10,3,0,0,1
Hiago Gama,17 WINS,10 LOSSES,4,7,4,2,0,0,0,5,1,1,1,0,0,2
Higor Lima,23 WINS,7 LOSSES,13,0,10,0,0,0,0,5,0,2,0,0,0,0
Horlando Monteiro,102 WINS,26 LOSSES,25,8,66,2,0,1,0,8,4,11,3,0,0,0
Hugo Marques,68 WINS,19 LOSSES,30,7,19,12,0,0,0,5,1,7,5,1,0,0
Hunter Ewald,4 WINS,6 LOSSES,2,2,0,0,0,0,0,2,0,3,0,0,0,0
Hygor Brito,59 WINS,34 LOSSES,22,4,28,4,0,1,0,13,6,8,5,1,1,0
Ian Sanders,7 WINS,4 LOSSES,3,2,2,0,0,0,0,2,0,2,0,0,0,0
Igor Feliz,7 WINS,1 LOSSES,4,1,2,0,0,0,0,0,0,1,0,0,0,0
Igor Silva,75 WINS,42 LOSSES,21,6,39,9,0,0,0,13,4,21,2,0,0,0
Igor Paiva,28 WINS,15 LOSSES,15,3,5,5,0,0,0,8,2,5,0,0,0,0
Igor Schneider,83 WINS,49 LOSSES,57,7,14,5,0,0,0,19,6,19,5,0,0,0
Igor Tanabe,18 WINS,0 LOSSES,3,0,14,0,0,1,0,0,0,0,0,0,0,0
Igor Veríssimo,21 WINS,12 LOSSES,9,3,7,1,1,0,0,5,0,5,1,0,0,1
Inacio Neto,49 WINS,30 LOSSES,24,5,19,1,0,0,0,11,5,11,2,0,0,0
Ingridd Alves,37 WINS,5 LOSSES,18,0,15,3,1,0,0,4,0,1,0,0,0,0
Israel Sousa Almeida,44 WINS,9 LOSSES,25,1,17,1,0,0,0,7,0,0,2,0,0,0
Italo Moura,29 WINS,17 LOSSES,13,1,11,3,0,0,1,8,6,1,2,0,0,0
Isaque Bahiense,143 WINS,18 LOSSES,68,12,45,12,2,0,2,5,3,7,3,0,0,0
Inseong Jang,14 WINS,7 LOSSES,9,2,3,0,0,0,0,3,1,2,1,0,0,0
Jackson Douglas,17 WINS,21 LOSSES,4,2,6,5,0,0,0,7,1,9,3,0,0,0
Jackson Sousa,147 WINS,62 LOSSES,76,17,44,7,1,0,2,21,7,22,12,0,0,0
Jackson Nagai,10 WINS,5 LOSSES,1,1,8,0,0,0,0,3,0,0,2,0,0,0
Jake Ferrara,4 WINS,2 LOSSES,0,0,3,0,0,0,0,2,0,0,0,0,0,0
Jake Watson,47 WINS,21 LOSSES,14,1,19,7,2,0,4,11,2,7,1,0,0,0
Jakub Zajkowski,27 WINS,5 LOSSES,6,1,20,0,0,0,0,5,0,0,0,0,0,0
Jason Rau,46 WINS,11 LOSSES,2,0,41,3,0,0,0,5,0,3,0,0,3,0
Jeferson Guaresi,30 WINS,13 LOSSES,11,4,9,6,0,0,0,5,0,2,6,0,0,0
Jefferson Moura,11 WINS,4 LOSSES,1,1,8,0,0,0,0,3,1,0,0,0,0,0
Jake Shields,13 WINS,10 LOSSES,3,0,2,4,0,4,0,3,0,3,2,0,2,0
James Puopolo,60 WINS,58 LOSSES,18,0,40,2,0,0,0,22,5,26,5,0,0,0
Jean Jacques Machado,17 WINS,7 LOSSES,5,0,11,1,0,0,0,4,1,0,1,1,0,0
